,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text
0,neutral,1.0,None,0.0,Virgin America,cairdin,0,virginamerica dhepburn said
1,positive,0.3486,None,0.0,Virgin America,jnardino,0,virginamerica plus youve added commercial experience tacky
2,neutral,0.6837,None,0.0,Virgin America,yvonnalynn,0,virginamerica didnt today must mean need take another trip
3,negative,1.0,Bad Flight,0.7033,Virgin America,jnardino,0,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse
4,negative,1.0,Can't Tell,1.0,Virgin America,jnardino,0,virginamerica really big bad thing
5,negative,1.0,Can't Tell,0.6842,Virgin America,jnardino,0,virginamerica seriously would pay 30 flight seat didnt playing really bad thing flying va
6,positive,0.6745,None,0.0,Virgin America,cjmcginnis,0,virginamerica yes nearly every time fly vx ear worm wont go away
7,neutral,0.634,None,0.0,Virgin America,pilot,0,virginamerica really missed prime opportunity men without hat parody httpstcomwpg7grezp
8,positive,0.6559,None,0.0,Virgin America,dhepburn,0,virginamerica well didntbut
9,positive,1.0,None,0.0,Virgin America,YupitsTate,0,virginamerica amazing arrived hour early youre good
10,neutral,0.6769,None,0.0,Virgin America,idk_but_youtube,0,virginamerica know suicide second leading cause death among teen 1024
11,positive,1.0,None,0.0,Virgin America,HyperCamiLax,0,virginamerica lt3 pretty graphic much better minimal iconography
12,positive,1.0,None,0.0,Virgin America,HyperCamiLax,0,virginamerica great deal already thinking 2nd trip australia amp havent even gone 1st trip yet p
13,positive,0.6451,None,0.0,Virgin America,mollanderson,0,virginamerica virginmedia im flying fabulous seductive sky u take stress away travel httptcoahlxhhkiyn
14,positive,1.0,None,0.0,Virgin America,sjespers,0,virginamerica thanks
15,negative,0.6842,Late Flight,0.3684,Virgin America,smartwatermelon,0,virginamerica sfopdx schedule still mia
16,positive,1.0,None,0.0,Virgin America,ItzBrianHunty,0,virginamerica excited first cross country flight lax mco ive heard nothing great thing virgin america 29daystogo
17,negative,1.0,Bad Flight,1.0,Virgin America,heatherovieda,0,virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help
18,positive,1.0,None,0.0,Virgin America,thebrandiray,0,flying virginamerica
19,positive,1.0,None,0.0,Virgin America,JNLpierce,0,virginamerica know would amazingly awesome bosfll please want fly
20,negative,0.6705,Can't Tell,0.3614,Virgin America,MISSGJ,0,virginamerica first fare may three time carrier seat available select
21,positive,1.0,None,0.0,Virgin America,DT_Les,0,virginamerica love graphic httptcout5grrwaaa
22,positive,1.0,None,0.0,Virgin America,ElvinaBeck,0,virginamerica love hipster innovation feel good brand
23,neutral,1.0,None,0.0,Virgin America,rjlynch21086,0,virginamerica making bosgtlas non stop permanently anytime soon
24,negative,1.0,Customer Service Issue,0.3557,Virgin America,ayeevickiee,0,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet
25,negative,1.0,Customer Service Issue,1.0,Virgin America,Leora13,0,virginamerica status match program applied three week called emailed response
26,negative,1.0,Can't Tell,0.6614,Virgin America,meredithjlynn,0,virginamerica happened 2 ur vegan food option least say ur site know wont able 2 eat anything next 6 hr fail
27,neutral,0.6854,None,0.0,Virgin America,AdamSinger,0,virginamerica miss dont worry well together soon
28,negative,1.0,Bad Flight,1.0,Virgin America,blackjackpro911,0,virginamerica amazing cant get cold air vent vx358 noair worstflightever roasted sfotobos
29,neutral,0.615,None,0.0,Virgin America,TenantsUpstairs,0,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix
30,negative,1.0,Flight Booking Problems,1.0,Virgin America,jordanpichler,0,virginamerica hi bked cool birthday trip cant add elevate cause entered middle name flight booking problem
31,neutral,1.0,None,0.0,Virgin America,JCervantezzz,0,virginamerica hour operation club sfo posted online current
32,negative,1.0,Customer Service Issue,1.0,Virgin America,Cuschoolie1,0,virginamerica help left expensive headphone flight 89 iad lax today seat 2a one answering lampf number lax
