,unique_id,review_text,rating,sentiment
0,B000FVEL7W:the_best:ronald_t._hicks,"This the best product out there for preventing and ridding red bumps, ingrown hairs, and the other unslightly skin/hair irritations",5.0,positive
1,B000GBID20:pleased_with_oral_b_vitality_sonic:urban_mommy,I was looking for something less abrasive than a regular manual toothbrush as I tend to be an agressive brusher.  I was very pleased with this product and my first try at electronic toothbrushes.  It is compact and I've never had a problem with it holding a charge.  Refills are a bit expensive but the same is the case for all sonic refills across the board,4.0,positive
2,"B0009IK198:a_fine_shave:thomas_m._stevens_""michael""","I bought this razor to check out the foil shave.  I've used Norelco and Panasonic shavers before.  I have dermatitis and break out easily.  This is the first of the electric razors that I've come across that gave me a great, close shave and didn't break me out.  This razor was great but I really wanted a little more.  So I looked up the Braun 8995 and got everything in one package.  This is a great shaver for a graduate or somebody getting a start in life.  It definitely turned me on to the foil shaver.  This is the best.  But when you're ready for a razor that takes care of itself, go on and get a Braun 8995",4.0,positive
3,"B000BPU3KG:best_one_there_is:sarah_j._moseley_""tx_fibrogirl""","I have fibromyalgia and my heating pads are my closest friends.  : )  Seriously, this is the best heating pad ever.  I think the best part about it is the strap that stretches--works great for neck/shoulders as well as hip/low back.  Because it's flexible it doesn't ""crimp"" up like regular heating pads when you have them bent even slightly.  I am purchasing my second one now so that I can use two at once--they're simply the best heating pad there is!  :",5.0,positive
4,"B000195OCO:just_trust_me...:shilo_irving_""u4icw0n""",This is one of the most all around fragrances a man can have. From a lumberjack to a business man... this scent just fits,5.0,positive
5,B000C20P6U:awesome_brush:joyfulmom,These hair brushes were the rage when I was in junior high.  I have had one since then.  It is a great brush and lasts forever.  Worth the price,5.0,positive
6,B000EO0XAE:wonderful!:k._hix,Tastes better than most candy bars and has no refined sugar or artificial ingredients,5.0,positive
7,"B000BFQ3PK:just_what_i_have_been_looking_for:pamela_jamieson_""maverick_and_harbinger""","I have been using the Prince Reigns product for 7 days and have noticed a wonderful difference in my hair. My hair naturally is typical of those descendant from the African Diaspora. For years I used a commercially available hair relaxer that advertised its product as ""Botanical"". I last relaxed my hair with this product five months ago. One day, I decided to read the ingredient label on the box and was astonished that it actually said the product was toxic and listed the ingredients that where especially poisonous. Needless to say, I no longer wanted to use the product and began searching the Internet for ways to enjoy the beauty of my hair without using poison. In the interim, I decided to braid my hair and use a wig until I could find a solution.  Through an exhaustive search on the Internet I came across the Prince Reigns product. It advertised the softening, straightening and 100% natural properties I was looking for in addition to being something both men and women could use. However, I did not find anyone who had actually used the product as a natural hair relaxer. I decided to give the product the ""Old College Try"" anyway and am pleased with the results. I used the product on my entire head. My hair is 10 ½ inches long with about 2 ½ inches of hair that was new growth from the last time I used a toxic hair relaxer. In the week I have been using the product it has done exactly as advertised. My hair is softer and straighter. The difference between my hair that was straightened using a toxic relaxer and the new growth is diminishing. Today, I have unbraided my hair and don't feel the need to wear a wig. My hair feels and looks great. The Prince Reigns product is just what I have been looking for.",5.0,positive
8,B000FTY49O:jason_teatree_oil_conditioner:eric_dickson,This product is great for instant relief of an itchy scalp.  Never leaves your hair or scalp oily.  I recommend this to anyone who has sensitive skin and/or scalp problems,5.0,positive
9,"B00004TUBW:not_bad_for_the_price:o._z._nichols_""caviarnut""","The dispenser looks good, holds a decent volume of shampoo, conditioner etc. It is simple to refill the bottles, and so far there is no leakage. The mounting was easy, glued onto the tiles with silicone glue (included). If it broke or we decided to replace it, we would probably struggle quite a bit to get it off the tiles. The top shelf does not have a cross bar on the front, so if you mount the dispenser under your shower head, the hose will knock over whatever you might place on the shelf. The little hooks will hold disposable razors but not the ones with larger heads. Overall satisfied, good product for the price",4.0,positive
10,"B0007L9JKO:great_to_build_circulation_in_ankles_and_calves:momdoll_""diabetes_patient""","I use this exerciser while watching movies on the couch at home with my hubby (Best not to do right after eating a big meal).  I also have one at work under my desk for break times.  It really helps get the circulation going in my legs - down to my toes - and has helped me lose weight and get my blood sugar down.  Had cheaper ones, but they either moved around too much or broke at the soddering poin",5.0,positive
11,B000EON4C8:love_'em:l._lewis,"So far, these fit the bill. Just used them for the first time--find that they are easy to put on, and comfortable--and better yet, don't interfere with jewelry as they would if they hung off a chain/rope/string",5.0,positive
12,"B0000UTUS8:not_a_necessity:a._m._paris_""franners""","I love my Microfiber Bath Towel, so I thought that the hair turban would be a perfect compliment to it! I do like how it wraps up my long, thick hair (with room to spare), but I don't think it absorbs the moisture in my hair any more than a fluffy regular towel. Actually, it gets extremely soaked after just a few minutes in the towel. I wouldn't purchase this product again. Instead, I would buy another bath towel and use a hair clip to keep it up",2.0,negative
13,"B000FL07AW:accurate_and_easy_to_use:k._harper_""el_magnifico""",This scale is awesome.  You barely have to step up to stand on the scale and the slim design also allows the scale to blend with it's surroundings instead of sticking out.  When weighing myself I noticed a deviation of only about 2 lbs,5.0,positive
14,"B000MAV2XW:i_hate_this_razor!:ms_""love_to_give_reviews""",Those pieces come out so far you can't get a close shave.  They only lasted a couple of shaves then fell off and I am glad because now I can use the razor and get a close shave,1.0,negative
15,"B000FKHLD4:a_must_for_newborns.:tante_mommy_""tante_mommy""",I switch over to warehouse brand after our babies outgrow these but these are great for the first few weeks. They got rid of the umbilical cord cut out and I miss that but they are still great early on.,5.0,positive
16,B0007CXQUC:wonderful_little_hair_ripper-outer:nursebecky99,"I received this little gadget just after Christmas and I'm very pleased with it. Yes, it does hurt some when you start using it, but it is well worth it. I now only epilate my underarms and can go a week without hair growth. I've done my legs several times, still have some nubs, but I've also shaved them in between epilating. If you've ever had electrolysis, you'll appreciate that this is less painful",4.0,positive
17,69645,This blood pressure monitor is accurate and easy to use.  I would recommend it to anyone,5.0,positive
18,B0000UJC7C:great_for_back_sleepers:t._wilcher,"This sleep mask is great if you are a back sleeper.  The battery pack is uncomfortable to sleep on if you are a side sleeper.  Since I am a side sleeper, I had to purchase a regular sleep mask without sound.  I am keeping this mask as well, to use for traveling.  When I first tried to turn the sleep mask on, it wouldn't work. There is an on/off switch on the battery pack.  The instructions don't tell you that.  I am satisfied with the product. If you are a back sleeper, it is very comfortable or if you travel alot, it would be great. I recommend this product.",4.0,positive
19,"B000GP356A:broken_for_the_start:more_than_mad_""not_happy_camper""","When I opened the trimmer, one of the attachments broke when I attempted to remove the cover...If I can't return it to Amazon, I will throw it into my garbage",1.0,negative
20,B00027C7O8:awesome!_worth_every_penny!:nargus,"I don't even know where to start, this iron is absolutely amazing.  I have really thick, curly hair, and I always had to wear it curly, or up in a ponytail, because if I tried to straighten it with a blowdrier, no matter what kind of brush I used, or what kind of products I used, it would end up a big poufy mess.  Well let me tell you, this iron exceded all of my expectations, and then some.  I had one other straightener before this one, and it was a total letdown.  But this one straightens my hair is one pass, at about medium heat.  It heats up in no time, and I'm very impressed that it has an on/off switch and a breaker-thing for if it overheats.  My hair stays straight and smooth through almost anything.  Even in high humidity, you would never be able to tell that my hair wasn't naturally straight.  I've owned it for about 9 months, and I don't think I could live without it",5.0,positive
21,398311,This shaver has met all my expectations. It cleans and recharges itself automatically. The shave is close and nick free. The only slight negative is the cleaning time per shave could run to 20 minutes,4.0,positive
22,"B0006VSX1Q:had_fun!:m._r._nair_""forgetmanoj""",Was just as I expected it to be. Loads of fun for friends when they come home...It is quite relaxing too when u do it right.Cheer,4.0,positive
23,B000A23CQM:norelco_9160xl:m._kirchner,"I bought this shaver to replace a Norelco that I've had for about 30 years.  It finally died.  The 9160XL is a better shaver.  It gives a much closer shave and is a lot quieter.  So far, the battery life is very good.  I like being able to wash the cutter head in water.I'd buy this product again",5.0,positive
24,B000BX5A6A:excellent_product!:c._williams,"My hairstylist referred this product to me after she noticed alot of frizziness and breakage in my hair.  This serum has worked beautifully to restore my hair back to health! It makes my hair very shiny and gives it a nice smell! After I shower I put a dime size of this in my hair and massage it through. After I comb my hair out I use ""Chi's"" Straight Guard. It acts like a gel or mouse. Its great too! After my hair has dried and I have used the straightening iron I finish my hair off with ""Chi's"" Shine Infusion. The shine infusion acts like a polisher. Its terric too! I recommend all of Chi's products to anyone!!",5.0,positive
25,B000BFJJTC:nail_doctor_nail_dryer:d._l._fletcher,Product doesn't really do anything more than blow air.  It doesn't appear to do anything with the ultraviolet light,1.0,negative
26,"B00076SA04:it_simply_doesn't_work:l._yu_""rockpp""",It makes glasses stain.And I return it within 1 week,1.0,negative
27,"B00006WNS1:excellent_device:karen_k._little_""littleviews""","I looked at numerous devices before settling on this one because it seemed easy to use (and I don't need another watch). I calibrated it against manually reading my pulse and found it to be accurate. To use, place your first finger on the sensor, stay calm (!), then click the button. Wiggling will destroy the reading",5.0,positive
28,B0001HYKC6:it_let_me_down:jeffrey_bussmann,"I quite liked this trimmer while it worked well, so I'm disappointed at how it has held up through only a little over six months.  As of now the battery will hold barely any charge, if at all.  It's frustrating to have it crap out on me after initially being pleased with its functions",2.0,negative
